Interview_key	HH_ID	area	ind_weight	hh_weight	select	selectedAgeM	selectedAgeF	age	tt_hhmembers	hh_2	hh2_oth	hh_3	hh_3oth	hh_4	hh_4oth	hh_5	hh_6	hh_6oth	hh_7	hh_7oth	hh_8	hh_8oth	hh_9	hh_10__1	hh_10__2	hh_10__3	hh_10__4	hh_10__5	hh_10__6	hh_10__7	hh_10__8	hh_10__9	hh_10__10	hh_10__11	hh_10__12	hh_10__13	hh_10__14	hh_10__15	hh_10__16	hh_10__17	hh_10__18	hh_10__19	hh_10__20	hh_11	hh_12	hh_12oth	hh_13__1	hh_13__2	hh_13__3	hh_13__4	hh_13__5	hh_13__6	hh_13__96	hh_13__98	hh_13__99	hh_13oth	hh_resultcode
00-05-56-32	0101061006201	1	193.8656099	153.255651	2	 	36	36	    2.00	96	Quad	2	 	2	 	1	2	 	1	 	1	 	2	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-07-95-36	0901066007201	2	645.2773928	70.52896863	1	42	 	42	    3.00	1	 	1	 	2	 	2	2	 	3	 	2	 	2	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-12-88-73	0803029002301	1	139.9704709	158.9286126	2	 	25	25	    4.00	1	 	1	 	96	shingle fiberglass	4	2	 	1	 	2	 	2	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	3
00-13-12-96	1408087008201	1	427.1519103	77.03611562	1	47	 	47	    5.00	1	 	1	 	1	 	4	2	 	1	 	1	 	2	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-13-53-79	0804073003101	2	271.0215556	113.7580086	1	23	 	23	    1.00	1	 	1	 	2	 	1	2	 	7	 	2	 	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-14-48-83	0211012001501	1	892.0572831	716.607928	2	 	30	30	    4.00	1	 	1	 	2	 	3	2	 	1	 	1	 	2	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-19-58-41	1104050020001	2	262.068589	375.7272921	2	 	29	29	    6.00	1	 	6	 	1	 	1	1	 	1	 	1	 	2	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-20-69-86	0201042000601	1	505.9542584	406.4434422	2	 	34	34	    3.00	1	 	1	 	2	 	2	2	 	1	 	2	 	2	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-21-87-98	1409002012901	2	247.10871	241.7407252	2	 	49	49	    3.00	1	 	1	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-23-02-02	0601080014601	1	573.6401048	538.6048831	2	 	23	23	    4.00	1	 	1	 	2	 	3	2	 	1	 	2	 	2	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-24-73-71	0206014007001	1	147.3487477	118.3682738	2	 	48	48	    3.00	2	 	1	 	2	 	1	2	 	1	 	1	 	2	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-26-00-42	1304009008901	1	358.7764138	51.36550223	1	18	 	18	    5.00	1	 	1	 	2	 	3	2	 	1	 	1	 	2	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-26-86-22	0402016006301	1	89.79431553	96.01856566	2	 	25	25	    3.00	1	 	96	ply  board	1	 	1	2	 	1	 	2	 	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	6	Path  every other month	0	0	0	0	0	1	0	0	0	 	1
00-27-45-37	1003048012901	1	133.5899647	125.6122057	2	 	21	21	    1.00	1	 	5	 	1	 	1	2	 	1	 	2	 	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-29-45-52	0701116013501	2	113.8332845	151.6077251	2	 	49	49	    1.00	1	 	1	 	2	 	1	2	 	1	 	2	 	2	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-30-64-64	0102011000301	1	156.2175646	172.8129107	2	 	18	18	    3.00	1	 	1	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-38-50-44	0210004018301	1	856.8155131	148.9049831	1	39	 	39	    2.00	1	 	4	 	1	 	2	2	 	3	 	2	 	2	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-41-50-57	1204062009001	2	88.18877137	123.465602	2	 	41	41	    2.00	1	 	1	 	1	 	2	2	 	6	 	2	 	2	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-45-42-00	1402082006701	2	657.5138305	445.0954813	1	28	 	28	    5.00	1	 	1	 	1	 	3	2	 	5	 	2	 	2	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-46-34-08	0802082009101	2	223.9919966	273.4760644	2	 	33	33	    3.00	1	 	4	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-47-30-86	0102079004401	1	278.4000329	41.26542057	2	 	35	35	    4.00	1	 	1	 	1	 	1	2	 	8	 	2	 	2	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	2	 	0	0	0	0	0	1	0	0	0	 	1
00-48-38-29	1409112003001	1	318.2007633	70.93977931	2	 	45	45	    4.00	1	 	1	 	2	 	3	2	 	1	 	1	 	2	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-50-63-36	1406075002101	1	252.7988916	250.4847344	2	 	40	40	    2.00	2	 	1	 	1	 	2	2	 	1	 	1	 	2	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-52-15-59	1401081007501	2	323.4915521	316.4642898	2	 	28	28	    6.00	1	 	1	 	1	 	4	2	 	1	 	1	 	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-55-93-62	1409054008201	1	216.1234519	214.145027	2	 	35	35	    3.00	4	 	1	 	2	 	3	2	 	8	 	1	 	2	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-56-47-27	0803020024801	1	408.5604125	122.0782669	2	 	47	47	    1.00	1	 	1	 	2	 	1	2	 	8	 	2	 	2	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-58-61-92	0502082006701	1	94.76455876	108.0048683	2	 	38	38	    5.00	1	 	1	 	2	 	2	2	 	96	get water from neighbour	2	 	2	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-60-53-79	1305109008701	2	80.08707797	96.31923585	2	 	41	41	    4.00	1	 	1	 	1	 	2	2	 	1	 	3	 	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	6	Bimonthly	0	0	0	0	0	1	0	0	0	 	1
00-62-34-61	0301075007401	1	569.7300671	147.9632998	1	23	 	23	    1.00	1	 	1	 	2	 	1	2	 	1	 	2	 	2	0	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-65-20-61	1301058001801	2	394.5363618	44.57470376	2	 	21	21	    4.00	1	 	4	 	2	 	1	2	 	5	 	3	 	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-68-04-67	1003038012701	1	84.60829796	36.83059799	2	 	45	45	    3.00	1	 	5	 	1	 	3	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-71-68-47	0210004003601	1	739.1792766	148.9049831	2	 	23	23	    2.00	1	 	4	 	1	 	1	2	 	2	 	2	 	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-72-11-59	1409112003701	1	411.0670551	70.93977931	2	 	16	16	    7.00	1	 	1	 	2	 	5	2	 	1	 	1	 	2	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-72-22-72	0201035013101	2	605.4174687	410.3217834	2	 	22	22	    3.00	1	 	1	 	2	 	2	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-72-78-53	1304011007201	1	73.15157582	29.31877312	2	 	25	25	    6.00	1	 	1	 	1	 	3	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	6	Bimonthly	0	0	0	0	0	1	0	0	0	 	1
00-78-44-90	0804054003101	2	264.0668285	50.37565383	2	 	28	28	    6.00	1	 	5	 	1	 	3	3	 	7	 	3	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	6	Path program every two months .	0	0	0	0	0	1	0	0	0	 	1
00-79-53-17	1302016006701	1	346.4996071	624.9386242	2	 	31	31	    3.00	1	 	1	 	1	 	2	2	 	8	 	2	 	2	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-80-39-55	0502056009601	2	119.018754	158.0249038	2	 	40	40	    3.00	1	 	5	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	2	 	0	0	0	0	0	1	0	0	0	 	1
00-81-39-60	1303058002801	2	269.3722511	323.9689853	2	 	33	33	    5.00	1	 	1	 	2	 	2	2	 	6	 	2	 	2	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-81-41-81	1103016003601	2	730.8112186	664.2842256	1	20	 	20	    3.00	1	 	1	 	1	 	4	2	 	96	rainwater (concrete tank)	2	 	2	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	6	Every 2 months	0	0	0	0	0	1	0	0	0	 	1
00-82-29-53	1301015001701	2	306.9713853	369.1887631	2	 	36	36	    6.00	1	 	1	 	2	 	3	2	 	7	 	2	 	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	6	every two months	0	0	0	0	0	1	0	0	0	 	1
00-83-76-97	0901001007601	1	82.58326476	149.3253454	2	 	45	45	    2.00	1	 	4	 	1	 	3	2	 	1	 	2	 	2	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-84-62-60	0206010005401	1	186.0975629	35.38499092	1	20	 	20	    3.00	4	 	1	 	1	 	1	2	 	2	 	1	 	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-86-01-82	0602058001901	2	408.676383	45.02472792	1	46	 	46	    5.00	1	 	1	 	2	 	2	2	 	6	 	2	 	2	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-86-31-00	0210085010901	1	162.2575961	135.3530934	1	27	 	27	    3.00	4	 	1	 	2	 	4	2	 	1	 	1	 	2	0	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-88-13-23	1303016010901	2	366.8931261	149.3982217	1	37	 	37	    1.00	1	 	1	 	2	 	1	6	 	2	 	3	 	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-88-78-72	0603041020901	2	510.2449626	176.2358433	1	21	 	21	    6.00	1	 	1	 	2	 	2	2	 	1	 	2	 	2	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	6	every other month	0	0	0	0	0	1	0	0	0	 	1
00-95-49-32	1002001006801	2	95.06727168	111.9481265	2	 	25	25	    4.00	1	 	5	 	1	 	1	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-16-80-83	0302047003101	2	368.8147982	505.0964177	2	 	49	49	    1.00	1	 	1	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-17-66-08	1202065003501	1	416.3993704	84.94460177	2	 	18	18	    4.00	1	 	1	 	2	 	2	2	 	8	 	2	 	2	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
